Extraversion,Number of Texters,Hours of Sleep,Handedness,Undergrad Year
4,5,7,Left-handed,First
4,6,8,Right-handed,First
8,7,8,Right-handed,Fourth or Higher
7,5,7,Right-handed,First
7,5,8,Left-handed,Second
6,3,6,Right-handed,Third
6,3,8,Right-handed,First
7,6,8,Right-handed,First
2,5,9,Right-handed,First
4,5,9,Right-handed,First
3,3,7,Right-handed,First
8,5,8,Right-handed,Second
5,7,7,Right-handed,Second
8,4,8,Right-handed,First
5,3,7,Right-handed,First
7,10,8,Right-handed,Second
6,5,8,Right-handed,Fourth or Higher
5,8,7,Right-handed,Fourth or Higher
5,5,7,Right-handed,Second
6,3,7,Right-handed,First
5,2,8,Left-handed,First
4,2,7,Left-handed,First
8,10,8,Right-handed,First
2,2,8,Right-handed,Fourth or Higher
3,4,8,Right-handed,Third
3,3,6,Left-handed,Fourth or Higher
8,8,7,Left-handed,First
5,8,8,Left-handed,Second
8,3,7,Right-handed,First
3,4,7,Right-handed,Second
6,5,8,Right-handed,Third
4,5,6,Right-handed,First
6,7,7,Right-handed,First
3,2,9,Right-handed,First
2,10,7,Right-handed,Second
7,6,9,Right-handed,Second
5,3,7,Right-handed,First
5,5,8,Right-handed,First
8,6,6,Right-handed,Third
7,8,8,Right-handed,First
9,6,8,Left-handed,First
7,8,9,Right-handed,Second
7,10,8,Left-handed,Fourth or Higher
4,4,8,Right-handed,Second
3,6,8,Right-handed,Second
4,2,6,Right-handed,Second
5,4,7,Right-handed,First
10,20,7,Left-handed,First
6,15,7,Right-handed,First
3,2,7,Right-handed,Second
8,6,7,Right-handed,Fourth or Higher
3,4,9,Right-handed,Second
5,4,7,Right-handed,First
4,5,7.5,Right-handed,Second
5,10,7,Right-handed,Third
4,10,7,Right-handed,First
7,4,5,Right-handed,Second
6,5,6.5,Left-handed,First
5,10,6,Right-handed,Third
3,12,7.5,Right-handed,First
4,5,8,Right-handed,First
7,5,8,Right-handed,First
3,5,6.5,Right-handed,First
7,15,7,Right-handed,Third
4,5,6.5,Right-handed,Third
4,3,8,Right-handed,First
6,5,6,Right-handed,First
3,1,6,Right-handed,First
5,8,7.25,Right-handed,First
6,10,7,Right-handed,First
4,2,5.5,Right-handed,First
3,5,8,Right-handed,First
3,5,8,Right-handed,Second
7,5,7,Right-handed,First
7,6,6,Right-handed,Second
4,3,7,Right-handed,Second
7,5,8,Right-handed,Fourth or Higher
4,6,7,Right-handed,Third
5,7,9,Right-handed,Second
3,5,7,Right-handed,Third
8,12,7,Right-handed,Second
8,8,7,Right-handed,First
2,5,7,Right-handed,Third
8,10,6,Right-handed,Third
7,8,7,Right-handed,Third
4,4,9,Right-handed,Second
9,30,7,Right-handed,Second
3,4,7,Right-handed,First
5,4,8,Left-handed,Second
8,7,7,Right-handed,First
7,10,8,Right-handed,First
6,5,7,Right-handed,First
5,10,7,Right-handed,First
8,5,7,Right-handed,Fourth or Higher
7,8,8,Right-handed,First
3,2,6,Right-handed,Third
7,6,7,Right-handed,Second
7,8,9,Right-handed,Second
4,2,7,Right-handed,First
8,10,7,Right-handed,Third
7,5,8,Right-handed,Third
2,7,8,Right-handed,First
2,2,9,Right-handed,First
5,20,8,Right-handed,Second
4,10,7,Right-handed,First
2,4,8,Right-handed,Second
7,8,7,Right-handed,First
8,4,7,Right-handed,Second
9,10,7,Right-handed,Third
6,8,6,Right-handed,First
3,10,8,Right-handed,Second
3,0,8,Right-handed,First
5,100,8,Right-handed,Third
7,20,8,Right-handed,Second
7,4,7,Left-handed,First
3,5,7,Right-handed,First
3,4,8,Right-handed,First
9,5,6,Left-handed,First
7,12,6,Right-handed,Second
4,3,7,Right-handed,Fourth or Higher
6,5,7,Right-handed,First
10,10,6,Right-handed,First
3,4,8,Right-handed,First
9,10,7,Right-handed,First
7,10,7,Right-handed,First
6,5,7,Right-handed,Second
3,4,8,Right-handed,First
3,4,6,Left-handed,First
7,10,8,Left-handed,Second
2,6,7,Right-handed,Second
8,7,7,Right-handed,First
7,4,8,Right-handed,Third
3,5,7,Right-handed,Second
2,2,6,Right-handed,Fourth or Higher
5,1,6.5,Right-handed,Second
9,9,6,Right-handed,Second
3,3,8,Right-handed,First
4,7,7,Right-handed,Second
6,7,8,Right-handed,First
8,5,8,Right-handed,First
4,5,7,Right-handed,Second
8,3,6,Right-handed,Fourth or Higher
8,20,6,Right-handed,First
4,5,8,Right-handed,First
5,5,7,Right-handed,Second
6,3,10,Left-handed,Third
3,5,7,Right-handed,First
6,6,6.5,Right-handed,Fourth or Higher
8,10,7,Right-handed,First
7,3,8,Right-handed,First
5,6,7,Right-handed,Second
8,0,9,Right-handed,First
4,7,7,Right-handed,Fourth or Higher
10,5,7,Left-handed,Second
9,6,7,Right-handed,Second
5,5,7,Right-handed,Second
9,8,7,Right-handed,Second
7,5,7,Right-handed,Second
7,5,7,Right-handed,First
5,2,6,Right-handed,Third
2,2,6,Right-handed,Fourth or Higher
8,4,8,Right-handed,Second
3,4,8,Right-handed,Second
6,8,7,Right-handed,Fourth or Higher
8,4,6.5,Right-handed,First
9,15,7.5,Left-handed,Second
6,8,6,Right-handed,First
3,4,5,Right-handed,Fourth or Higher
4,3,7,Right-handed,First
4,12,6,Right-handed,First
7,4,6,Right-handed,Second
7,5,8,Right-handed,Third
3,4,7.5,Right-handed,Fourth or Higher
5,3,8,Right-handed,Second
3,14,8,Right-handed,First
5,10,8,Right-handed,First
7,3,6,Right-handed,First
3,5,6,Right-handed,Second
6,9,7,Right-handed,Second
4,3,7,Right-handed,Second
3,5,7,Right-handed,First
3,2,8,Right-handed,Third
8,15,7,Right-handed,First
4,3,7,Right-handed,Fourth or Higher
2,4,5,Right-handed,Fourth or Higher
7,7,7,Right-handed,First
4,3,7,Right-handed,Second
3,5,6,Right-handed,Second
6,4,7.5,Right-handed,Second
4,8,6,Right-handed,Second
4,5,7,Right-handed,First
8,5,6.5,Left-handed,Fourth or Higher
10,15,8,Right-handed,First
5,5,8,Right-handed,Fourth or Higher
4,4,8,Right-handed,Third
10,15,6.5,Left-handed,Second
3,3,6,Ambidextrous / It's Complicated,First
6,5,8,Right-handed,First
6,5,6.5,Right-handed,First
2,4,6,Left-handed,First
7,3,7,Left-handed,Second
3,2,7,Right-handed,Second
9,8,10,Right-handed,Second
5,3,8,Right-handed,Second
5,3,7,Left-handed,Third
5,5,7,Right-handed,Third
5,3,8,Ambidextrous / It's Complicated,First
3,5,7.5,Right-handed,First
8,7,8,Ambidextrous / It's Complicated,First
7,5,6,Right-handed,First
7,5,9,Right-handed,Third
3,4,8,Right-handed,First
10,3,6,Right-handed,Third
7,7,7,Right-handed,Third
4,3,7,Right-handed,Second
7,5,7,Right-handed,First
7,4,7,Left-handed,Second
7,6,8,Right-handed,First
3,4,8,Right-handed,Second
3,1,7,Right-handed,First
8,15,8,Left-handed,First
5,3,6,Right-handed,First
8,4,6,Left-handed,Second
6,3,7,Right-handed,Third
3,5,7,Right-handed,Second
5,7,8,Right-handed,Second
2,1,8,Right-handed,First
3,2,7,Right-handed,Second
4,2,8,Right-handed,Second
4,4,7,Right-handed,First
7,10,7,Right-handed,First
2,2,8,Right-handed,Fourth or Higher
8,5,7,Right-handed,Fourth or Higher
7,5,6,Right-handed,Second
7,5,9,Right-handed,Second
4,2,8,Right-handed,Second
6,4,7,Right-handed,First
7,6,8,Right-handed,First
3,20,6,Right-handed,First
10,1,1,Left-handed,First
8,12,7.5,Right-handed,Second
8,10,6,Right-handed,Second
8,8,7,Right-handed,Second
3,10,5,Left-handed,Third
9,2,7,Right-handed,First
7,5,6,Right-handed,First
8,20,7,Right-handed,Second
6,4,7,Right-handed,Second
3,14,8,Ambidextrous / It's Complicated,First
4,11,7,Right-handed,First
2,4,7,Right-handed,First
2,3,8,Right-handed,Second
3,1,7,Right-handed,Third
3,3,8,Right-handed,Third
8,25,7.5,Right-handed,Second
7,10,8,Right-handed,Second
4,3,8,Right-handed,Second
7,10,8,Right-handed,Second
9,13,7,Right-handed,Third
4,5,7,Right-handed,First
7,8,7.25,Right-handed,Fourth or Higher
3,6,7.5,Right-handed,First
2,2,8,Right-handed,Fourth or Higher
7,8,6,Right-handed,Second
9,5,8,Right-handed,Second
3,3,7,Right-handed,First
4,6,8,Right-handed,Second
7,6,7.5,Right-handed,First
7,6,8,Right-handed,Second
7,8,7,Right-handed,First
4,4,8,Right-handed,Second
4,3,8,Right-handed,First
7,10,7,Right-handed,Second
8,10,8,Right-handed,First
7,4,7,Right-handed,Third
7,5,8,Ambidextrous / It's Complicated,First
4,3,7,Right-handed,Third
9,20,7,Ambidextrous / It's Complicated,First
5,5,8,Right-handed,First
3,4,8.5,Right-handed,First
7,20,8,Right-handed,Second
3,4,6,Right-handed,First
8,6,7,Right-handed,Second
7,5,6,Right-handed,First
7,5,8,Right-handed,Fourth or Higher
3,12,6,Right-handed,First
8,7,7,Right-handed,First
7,3,6,Right-handed,Fourth or Higher
7,8,7,Right-handed,First
5,3,7,Right-handed,Third
3,2,8,Right-handed,Third
4,25,6.5,Right-handed,First
7,13,8,Right-handed,First
6,10,8,Right-handed,First
5,15,8,Right-handed,First
4,4,7,Right-handed,Third
7,3,7,Right-handed,Second
4,7,6,Right-handed,First
7,12,7,Right-handed,Third
6,5,7,Right-handed,Second
3,7,7,Right-handed,Fourth or Higher
7,8,7,Right-handed,First
9,20,7,Right-handed,First
6,5,7,Right-handed,First
6,7,6,Right-handed,First
4,3,7,Right-handed,Third
5,3,8,Right-handed,Third
3,5,8,Right-handed,First
6,7,7,Right-handed,First
3,4,7.5,Ambidextrous / It's Complicated,First
3,2,7,Right-handed,First
7,8,7,Right-handed,First
6,4,9,Right-handed,First
5,10,8,Right-handed,First
5,3,7,Right-handed,Fourth or Higher
6,10,7,Right-handed,First
3,5,7,Left-handed,First
1,3,8,Right-handed,First
10,6,7,Right-handed,Third
10,10,7,Right-handed,First
4,4,6,Left-handed,Second
6,5,8,Right-handed,Second
7,12,6,Right-handed,Second
3,8,9,Left-handed,First
2,4,6,Right-handed,Third
7,3,6,Right-handed,Second
7,9,8,Right-handed,Second
7,5,8,Right-handed,First
4,4,9,Left-handed,Third
5,2,6,Right-handed,Third
4,4,8,Right-handed,Third
5,3,8,Right-handed,Fourth or Higher
1,2,8,Right-handed,Third
3,2,8,Right-handed,Third
6,6,6,Right-handed,Third
9,15,8,Right-handed,First
4,3,9,Left-handed,Third
7,8,7,Right-handed,First
7,7,8,Right-handed,Third
8,5,8,Left-handed,Second
4,2,7,Right-handed,Second
7,4,6,Right-handed,First
7,9,7,Right-handed,First
7,5,6.5,Right-handed,Second
7,13,7.5,Right-handed,First
8,10,8,Right-handed,First
9,15,8,Right-handed,First
8,10,7,Right-handed,Second
7,6,6,Right-handed,Second
6,8,6,Right-handed,Second
3,4,7,Right-handed,Fourth or Higher
5,2,7,Right-handed,Third
3,3,7,Right-handed,Third
3,6,7,Right-handed,Fourth or Higher
7,7,8,Right-handed,First
5,15,6,Right-handed,First
4,5,8,Right-handed,Fourth or Higher
8,12,8,Right-handed,First
7,3,7,Right-handed,Second
3,10,8,Right-handed,Second
4,5,8,Right-handed,Second
1,4,7,Right-handed,First
1,4,8,Right-handed,Third
4,5,8,Right-handed,Third
6,5,5,Right-handed,First
5,1,7,Right-handed,Fourth or Higher
8,4,7,Right-handed,Second
5,3,7,Right-handed,Second
4,2,8,Right-handed,First
10,5,8,Right-handed,Second
7,3,8,Right-handed,Second
4,6,8.5,Right-handed,Fourth or Higher
6,6,8,Right-handed,Third
4,8,8,Left-handed,Third
5,8,6,Right-handed,Second
4,5,6,Right-handed,Second
9,13,7,Right-handed,First
4,10,8,Right-handed,Third
8,4,7,Right-handed,Third
7,10,7,Right-handed,Fourth or Higher
7,30,8,Right-handed,First
5,6,8,Right-handed,Second
5,8,7,Left-handed,Second
3,2,7,Right-handed,Third
8,5,8,Right-handed,Second
3,3,8,Right-handed,Third
3,10,7.5,Right-handed,First
7,4,7,Right-handed,Second
3,10,7,Right-handed,First
7,3,7,Right-handed,Second
7,5,7,Right-handed,Second
8,3,8,Right-handed,First
10,4,5,Right-handed,Third
8,5,7,Right-handed,First
3,3,7,Right-handed,Second
7,2,6,Right-handed,Second
8,30,7,Left-handed,First
8,5,6,Left-handed,First
6,10,8,Right-handed,Second
4,5,7,Right-handed,Second
8,15,8,Right-handed,Second
7,10,9,Right-handed,First
6,15,6,Right-handed,First
8,30,7,Right-handed,First
8,2,7,Right-handed,Third
5,5,8,Right-handed,First
7,6,6,Right-handed,First
7,4,6.5,Right-handed,First
