Extraversion,Number of Texters,Hours of Sleep,Handedness,Undergrad Year
8,8,6,Right-handed,Third
7,12,8,Right-handed,First
7,4,7,Right-handed,First
3,3,5,Left-handed,First
8,7,7,Right-handed,First
7,12,8,Left-handed,Third
5,8,8,Right-handed,Fourth or Higher
5,5,7,Left-handed,Second
5,7,7,Right-handed,Fourth or Higher
2,0,6,Right-handed,First
8,8,7,Right-handed,First
5,3,6,Right-handed,Second
2,3,6,Right-handed,Second
1,6,5,Right-handed,First
5,3,7,Right-handed,First
7,10,8,Right-handed,Second
7,100,5,Right-handed,First
5,2,5,Right-handed,First
5,8,7,Right-handed,Second
2,0,5,Right-handed,Second
3,2,4,Right-handed,Second
3,5,7,Right-handed,Second
7,15,8,Right-handed,First
10,8,7,Left-handed,Third
4,2,6,Right-handed,Second
5,5,9,Right-handed,Second
6,25,8,Right-handed,Second
10,60,7,Right-handed,First
6,15,8,Right-handed,First
7,15,7,Right-handed,Second
8,11,7,Right-handed,Second
5,3,6,Right-handed,Second
7,20,7,Right-handed,First
5,5,7,Right-handed,Third
7,4,8,Right-handed,Second
4,4,7,Right-handed,Third
6,6,8,Right-handed,Second
6,8,7,Right-handed,Second
4,5,8,Right-handed,Fourth or Higher
7,6,7,Right-handed,Third
8,4,6,Right-handed,Fourth or Higher
8,15,7,Right-handed,Third
3,18,7,Right-handed,First
8,5,7,Right-handed,First
7,8,7,Right-handed,First
5,4,7.75,Right-handed,Fourth or Higher
8,8,7,Right-handed,First
4,5,6,Right-handed,First
4,3,8,Right-handed,Second
8,10,8,Right-handed,First
7,4,7,Right-handed,Second
8,7,6.5,Right-handed,Second
3,5,7,Right-handed,Fourth or Higher
8,10,7,Right-handed,First
6,5,7,Right-handed,Third
6,4,8,Right-handed,Second
7,8,7,Right-handed,Second
7,10,7,Ambidextrous / It's Complicated,Second
9,10,9,Right-handed,Third
7,4,8,Right-handed,Second
6,6,8,Right-handed,Second
3,4,7,Right-handed,Second
5,2,7,Right-handed,Third
5,8,7,Right-handed,First
8,10,5,Right-handed,Second
9,7,5,Right-handed,First
7,6,7,Right-handed,First
7,5,9,Right-handed,Second
2,1,7,Right-handed,Fourth or Higher
7,10,6,Right-handed,Third
7,3,7,Right-handed,Second
8,5,9,Right-handed,Second
7,6,7,Right-handed,Third
7,10,9,Right-handed,Second
6,10,6,Right-handed,First
10,10,5,Left-handed,First
7,20,6,Right-handed,Third
8,6,8,Left-handed,Fourth or Higher
5,8,7,Right-handed,Fourth or Higher
5,7,7.5,Right-handed,Second
9,30,7,Right-handed,Fourth or Higher
7,4,7,Right-handed,First
5,10,7,Right-handed,First
4,4,7.5,Right-handed,Fourth or Higher
7,3,7,Right-handed,First
5,5,6,Ambidextrous / It's Complicated,Fourth or Higher
3,10,5,Right-handed,First
4,4,6,Right-handed,Second
8,5,8,Right-handed,First
3,8,6,Left-handed,Fourth or Higher
5,10,6,Right-handed,Second
7,5,7.5,Right-handed,Second
8,10,5,Right-handed,Second
5,2,8,Left-handed,Fourth or Higher
7,8,6.5,Right-handed,First
4,6,7,Left-handed,Second
2,7,6,Right-handed,Second
4,10,7,Right-handed,Second
1,3,0,Right-handed,Second
9,15,7,Right-handed,First
5,2,8,Right-handed,Third
7,5,6,Ambidextrous / It's Complicated,Third
6,7,7,Right-handed,First
5,4,5,Right-handed,Second
9,8,7.5,Right-handed,Third
8,15,7,Right-handed,Second
6,5,7,Right-handed,Second
5,7,7,Right-handed,Third
9,10,8.5,Ambidextrous / It's Complicated,Third
9,7,7,Right-handed,First
8,5,8,Right-handed,Third
5,3,8,Right-handed,Third
6,5,8,Right-handed,First
5,2,6,Right-handed,Second
6,10,7,Right-handed,Second
8,10,8,Right-handed,Fourth or Higher
7,15,9,Right-handed,Third
4,2,8,Ambidextrous / It's Complicated,Fourth or Higher
5,5,7,Right-handed,Fourth or Higher
8,3,6,Right-handed,Fourth or Higher
3,2,9,Right-handed,Third
5,8,7,Right-handed,Third
5,6,6,Right-handed,Second
7,8,8,Right-handed,First
8,10,7,Right-handed,First
7,10,7,Right-handed,Second
9,4,6,Right-handed,Second
5,5,8,Right-handed,Fourth or Higher
4,4,6,Right-handed,Fourth or Higher
4,4,7,Right-handed,Second
5,9,8,Right-handed,First
3,8,7,Right-handed,Second
7,3,7,Right-handed,Second
8,20,7,Right-handed,Second
7,9,8,Right-handed,Second
4,10,7,Left-handed,Fourth or Higher
7,6,8,Right-handed,First
7,18,7,Right-handed,Fourth or Higher
5,5,7,Right-handed,First
5,3,5,Right-handed,Second
5,3,7,Right-handed,Third
5,3,7,Right-handed,Second
5,4,5,Right-handed,Fourth or Higher
8,4,7.5,Right-handed,Third
3,2,8,Right-handed,Fourth or Higher
7,6,6,Right-handed,First
5,5,8,Right-handed,Fourth or Higher
4,2,6,Right-handed,Second
8,15,8,Right-handed,Fourth or Higher
5,5,5,Right-handed,First
3,5,7,Right-handed,Third
7,6,8,Right-handed,Third
6,3,8,Right-handed,Fourth or Higher
7,6,7,Right-handed,Third
4,6,7,Right-handed,Third
5,10,7,Right-handed,Second
6,4,7,Right-handed,Second
6,7,6,Right-handed,Second
7,5,7,Right-handed,Third
8,8,8,Right-handed,Third
5,5,6,Right-handed,First
8,15,8,Right-handed,First
2,10,6,Right-handed,Second
9,6,7,Right-handed,Second
4,1,8,Right-handed,Third
3,4,7,Right-handed,Second
3,2,4,Right-handed,Second
7,10,7,Right-handed,First
8,4,6,Right-handed,Third
5,3,7,Right-handed,Second
6,5,6,Right-handed,Second
8,5,7,Right-handed,First
4,8,7,Right-handed,Second
6,5,8,Right-handed,First
6,4,7,Right-handed,First
5,15,7,Right-handed,Third
4,2,8,Right-handed,Third
4,5,8,Left-handed,First
3,5,8,Right-handed,Third
5,15,8,Right-handed,First
8,10,6,Right-handed,First
7,8,6,Right-handed,First
8,10,7,Right-handed,First
6,4,7,Right-handed,First
7,3,6,Right-handed,First
9,10,8,Left-handed,First
6,2,7,Right-handed,First
5,7,7,Right-handed,First
6,7,8,Right-handed,Second
3,2,6,Right-handed,First
6,8,7,Right-handed,First
4,7,6,Right-handed,First
5,3,7,Right-handed,Fourth or Higher
4,3,7,Right-handed,Second
7,3,8,Right-handed,Second
6,4,7.5,Right-handed,Fourth or Higher
4,10,7,Right-handed,Second
9,15,6,Right-handed,Second
4,4,9,Right-handed,First
2,6,6,Right-handed,First
7,7,7,Right-handed,Second
9,10,7,Right-handed,Second
8,50,7,Right-handed,Second
5,8,8,Right-handed,Third
5,3,6,Left-handed,Third
7,9,7,Right-handed,Second
3,2,7,Right-handed,Fourth or Higher
8,6,7,Right-handed,Fourth or Higher
7,10,7,Right-handed,First
7,20,9,Right-handed,Second
7,8,7,Right-handed,Second
8,15,7,Right-handed,First
4,3,7,Right-handed,First
9,10,7,Right-handed,First
3,20,6,Right-handed,Second
5,5,5,Right-handed,First
2,3,9,Right-handed,Second
10,27,5,Right-handed,First
4,7,6,Right-handed,First
4,5,6,Left-handed,Second
8,15,7,Right-handed,First
3,5,7,Right-handed,Fourth or Higher
7,8,5,Left-handed,Second
7,3,6,Right-handed,First
4,6,5,Right-handed,First
8,8,6,Right-handed,First
4,4,6,Right-handed,Second
6,6,6,Right-handed,Fourth or Higher
3,10,6,Right-handed,First
6,5,7,Right-handed,Second
7,3,6,Right-handed,First
5,5,7,Right-handed,First
8,3,6,Right-handed,First
3,2,6,Right-handed,Second
7,5,8,Right-handed,Second
2,4,8,Right-handed,Fourth or Higher
4,3,6,Right-handed,First
7,8,7,Right-handed,First
5,3,7,Right-handed,Second
4,4,6,Right-handed,Second
8,5,8,Right-handed,Second
3,10,8.5,Right-handed,Second
4,5,7,Left-handed,First
5,3,7,Right-handed,Third
3,3,7,Right-handed,Fourth or Higher
4,10,7,Right-handed,First
8,4,7,Right-handed,Third
6,4,6,Right-handed,Fourth or Higher
8,8,6.5,Right-handed,Second
7,10,8,Right-handed,First
5,3,7,Right-handed,Second
7,10,7,Right-handed,Second
10,10,7,Left-handed,Second
5,3,8,Right-handed,Second
8,10,7,Right-handed,First
5,3,6,Right-handed,Fourth or Higher
6,5,6,Right-handed,Second
7,3,6,Right-handed,First
7,6,8,Right-handed,Second
7,10,7,Right-handed,Third
8,20,7,Right-handed,First
8,15,8,Right-handed,Third
6,15,7,Right-handed,Second
8,7,7,Left-handed,Second
5,3,8,Right-handed,Fourth or Higher
7,12,7,Right-handed,Second
6,15,6,Right-handed,Second
5,4,7,Right-handed,Third
9,15,7.5,Right-handed,Third
7,5,8,Right-handed,Second
1,1,8,Left-handed,Fourth or Higher
6,6,7,Right-handed,Fourth or Higher
7,5,7,Right-handed,Fourth or Higher
9,21,7,Right-handed,First
9,5,9,Right-handed,Fourth or Higher
8,40,6,Right-handed,First
4,5,8,Right-handed,Third
6,10,5,Right-handed,Second
8,6,6,Right-handed,First
4,15,6,Right-handed,First
8,7,8,Right-handed,First
8,7,6,Right-handed,Second
4,4,7,Right-handed,Third
7,15,6,Right-handed,Second
5,5,8.5,Left-handed,First
7,10,7,Right-handed,First
4,6,7,Right-handed,Second
3,4,6,Right-handed,Second
5,10,8,Right-handed,Second
1,2,8,Right-handed,Fourth or Higher
8,10,8,Right-handed,Second
8,5,7,Right-handed,Fourth or Higher
2,10,8,Right-handed,First
5,4,5,Left-handed,First
8,20,7,Right-handed,First
5,10,8,Right-handed,Fourth or Higher
5,3,6,Right-handed,Fourth or Higher
3,5,7,Right-handed,First
9,9,7,Right-handed,Second
4,6,8,Right-handed,First
3,5,5,Right-handed,Second
3,8,6,Right-handed,First
2,3,6,Right-handed,Second
8,6,7,Right-handed,Second
8,3,8,Right-handed,Fourth or Higher
8,6,7,Left-handed,Second
7,3,6.5,Right-handed,Second
5,3,8,Right-handed,Fourth or Higher
8,6,7,Right-handed,First
6,8,8,Right-handed,Second
9,10,7,Right-handed,First
8,7,5,Right-handed,Third
8,7,7,Right-handed,First
7,12,7,Right-handed,Second
8,10,8,Right-handed,First
7,6,8,Right-handed,Third
6,5,8,Right-handed,First
6,7,8,Right-handed,Second
8,15,7,Right-handed,Third
5,5,7,Right-handed,First
5,3,5,Right-handed,First
6,2,7,Left-handed,Third
6,6,7,Right-handed,First
6,20,6,Right-handed,Fourth or Higher
5,4,7,Right-handed,First
5,5,7,Right-handed,First
5,10,8,Right-handed,Third
3,5,7,Right-handed,Third
5,6,7,Right-handed,First
6,6,5,Right-handed,Fourth or Higher
4,2,7,Right-handed,Third
7,5,7,Right-handed,Second
7,4,7,Right-handed,Second
5,12,7,Right-handed,First
6,6,5,Right-handed,Fourth or Higher
4,3,5,Right-handed,Third
8,9,8,Right-handed,Second
8,3,8,Right-handed,Fourth or Higher
3,3,8,Right-handed,Third
3,6,7,Right-handed,First
7,5,7,Right-handed,First
2,5,8,Right-handed,Second
3,5,6,Right-handed,Second
6,5,7,Right-handed,Second
6,8,6,Right-handed,Third
7,5,8,Right-handed,Third
8,10,8,Left-handed,Fourth or Higher
8,10,6,Right-handed,First
7,10,7,Right-handed,Third
5,3,7.5,Right-handed,Second
9,10,7,Right-handed,First
6,10,6,Right-handed,Second
4,6,7,Right-handed,Second
7,6,6,Right-handed,Second
6,15,8,Left-handed,Second
6,8,4,Right-handed,Third
10,40,9,Right-handed,Third
5,3,7,Left-handed,Second
4,10,8,Right-handed,Second
8,10,7,Right-handed,Second
6,3,5,Right-handed,First
8,6,7,Right-handed,First
4,6,5,Right-handed,First
4,5,8,Right-handed,Second
8,10,5,Right-handed,First
5,2,7,Right-handed,Fourth or Higher
7,5,7,Right-handed,Fourth or Higher
7,3,6,Right-handed,First
9,15,8,Right-handed,Second
1,5,6,Left-handed,First
3,4,7,Left-handed,Third
3,5,6,Right-handed,Second
5,15,7,Right-handed,Second
10,8,12,Right-handed,Second
5,5,7,Right-handed,First
8,10,4,Right-handed,Second
3,1,7,Right-handed,Second
5,3,6,Right-handed,Second
5,5,8,Right-handed,Second
7,6,5,Right-handed,First
1,2,8,Right-handed,Fourth or Higher
6,4,6,Right-handed,Fourth or Higher
8,10,7,Right-handed,Second
7,5,7,Right-handed,Second
7,4,7,Left-handed,First
10,8,8,Right-handed,Third
5,20,8,Left-handed,Second
7,4,7,Right-handed,Fourth or Higher
4,3,6,Right-handed,Fourth or Higher
7,8,6,Right-handed,Fourth or Higher
3,2,6,Left-handed,First
7,3,7,Right-handed,Third
4,3,6,Right-handed,Second
7,25,8,Right-handed,Second
5,4,7,Right-handed,First
5,5,7,Right-handed,First
8,5,6,Right-handed,Third
5,10,6.5,Right-handed,Second
7,10,7,Right-handed,Third
5,8,6,Right-handed,First
5,3,8,Right-handed,Fourth or Higher
9,5,7,Right-handed,Fourth or Higher
6,9,7,Right-handed,First
3,3,7,Right-handed,Second
8,6,6,Right-handed,Second
4,5,6,Right-handed,Fourth or Higher
8,4,7,Right-handed,First
3,2,8,Right-handed,Third
5,6,7,Right-handed,Second
4,5,7,Right-handed,Second
8,7,7,Right-handed,Third
2,5,5,Right-handed,Second
7,3,7,Right-handed,Second
5,3,8,Left-handed,First
6,5,5,Right-handed,Second
8,15,7,Right-handed,First
5,7,7,Right-handed,First
7,3,7,Right-handed,Third
4,7,8,Right-handed,Second
3,3,5,Right-handed,Fourth or Higher
8,6,6.5,Right-handed,First
4,10,7,Right-handed,Second
3,5,7,Right-handed,First
8,5,9,Right-handed,Third
7,7,6,Right-handed,Second
2,8,7,Right-handed,Fourth or Higher
3,3,7,Right-handed,Third
8,15,7.5,Right-handed,Third
3,6,5,Ambidextrous / It's Complicated,First
7,4,6,Right-handed,Fourth or Higher
7,25,6,Right-handed,First
4,5,8,Right-handed,Fourth or Higher
5,4,6,Right-handed,Second
3,2,7,Right-handed,Third
7,5,7,Right-handed,First
7,5,8,Right-handed,Fourth or Higher
8,6,7,Right-handed,First
6,5,5,Right-handed,Fourth or Higher
6,7,7,Right-handed,First
4,3,7,Right-handed,Second
8,5,8,Right-handed,First
9,10,7,Right-handed,Second
5,7,6,Right-handed,First
6,2,8,Right-handed,First
7,5,5,Right-handed,Second
4,25,7,Right-handed,First
1,2,5,Right-handed,Fourth or Higher
2,10,5,Right-handed,First
5,2,7.5,Ambidextrous / It's Complicated,First
7,5,7,Right-handed,Second
3,4,8,Right-handed,First
7,2,7,Right-handed,Fourth or Higher
8,7,7,Right-handed,Second
6,2,7,Right-handed,Third
10,15,7,Right-handed,Second
9,10,6.5,Right-handed,First
8,10,8,Right-handed,Third
7,3,6,Right-handed,Third
5,5,8,Right-handed,First
3,7,5,Right-handed,Third
8,20,7,Right-handed,Second
8,3,6,Right-handed,First
3,5,5,Right-handed,Third
1,7,6,Right-handed,Third
4,6,7,Right-handed,Third
4,3,7.5,Right-handed,Fourth or Higher
6,7,6.5,Right-handed,Second
6,5,6,Right-handed,Third
6,3,7,Right-handed,Third
3,10,7,Right-handed,Second
8,8,6,Right-handed,Third
6,3,7,Right-handed,Third
8,10,5,Right-handed,First
9,30,4,Right-handed,First
6,6,7,Right-handed,Third
8,5,7,Right-handed,Second
8,3,8,Right-handed,Fourth or Higher
5,2,7,Right-handed,First
6,6,7,Right-handed,Second
2,10,6,Right-handed,Second
8,10,6,Right-handed,Second
7,5,6,Right-handed,Second
9,4,8,Right-handed,Second
5,3,7,Right-handed,Third
8,3,9,Right-handed,Fourth or Higher
8,10,7.5,Right-handed,Second
8,10,7,Right-handed,Fourth or Higher
5,7,6,Ambidextrous / It's Complicated,Fourth or Higher
6,3,7,Right-handed,Third
3,5,8,Right-handed,Third
4,4,5,Right-handed,Fourth or Higher
6,7,7,Right-handed,Second
7,4,6,Left-handed,Third
7,6,7,Right-handed,Second
5,4,8,Right-handed,Second
9,20,6,Right-handed,Third
7,9,6,Right-handed,Fourth or Higher
4,8,7.5,Right-handed,Fourth or Higher
7,5,8,Right-handed,Second
5,20,9,Right-handed,First
3,6,7,Right-handed,Fourth or Higher
10,6,6,Right-handed,Second
9,3,9,Right-handed,Third
9,3,8,Right-handed,Second
4,2,8,Right-handed,Third
8,20,7,Left-handed,Fourth or Higher
8,15,6,Right-handed,Second
7,16,6,Right-handed,First
5,10,5,Right-handed,Third
6,3,6,Right-handed,Fourth or Higher
7,5,7,Right-handed,Third
5,15,8,Left-handed,First
3,2,7,Right-handed,First
4,1,6,Right-handed,First
8,30,7,Right-handed,First
4,4,6,Right-handed,Third
6,5,6,Right-handed,First
5,10,8,Right-handed,Fourth or Higher
5,6,7,Right-handed,Second
5,10,8,Right-handed,Fourth or Higher
7,6,6,Right-handed,Second
1,7,8,Right-handed,Second
9,8,7,Right-handed,Third
8,15,6,Right-handed,Second
8,8,6,Right-handed,First
7,30,6,Left-handed,First
8,3,6,Right-handed,First
7,4,6,Left-handed,First
5,3,8,Left-handed,Third
5,35,7,Right-handed,First
5,5,7,Right-handed,Second
5,7,7,Right-handed,First
8,5,6,Right-handed,First
8,30,6,Right-handed,First
6,8,8.5,Right-handed,Fourth or Higher
4,1,5,Right-handed,Third
7,12,7,Right-handed,First
9,8,7,Left-handed,Second
7,10,6.5,Right-handed,First
4,5,8,Left-handed,First
6,4,7,Right-handed,Second
7,3,6,Right-handed,First
3,2,6,Right-handed,Second
3,5,6,Left-handed,Third
4,1,6,Right-handed,Second
3,4,6,Right-handed,Fourth or Higher
9,5,8,Right-handed,First
7,6,8,Right-handed,First
6,10,7,Right-handed,Second
8,2,6,Right-handed,Fourth or Higher
7,5,5,Ambidextrous / It's Complicated,First
